time,x,y,heading
0.512,0.016573121632042533,-0.020840155839745054,-0.3625651951068483
1.024,0.059748253169881395,-0.09509316641854844,-1.34201512888228
1.536,0.02581540763467713,-0.2513597216396416,-2.5222538889051394
2.048,-0.13325284720333389,-0.3509569536208141,-2.701636270234419
2.56,-0.2946632048921818,-0.4980097684837912,-2.28470531155391
3.072,-0.4763522335464139,-0.6878082817418091,-2.3867364834569464
3.584,-0.6993609459006194,-0.8992046261358074,-2.383296296783508
4.096,-0.9223844137026501,-1.110470680966688,-2.383195307850616
4.6080000000000005,-1.1453909282754628,-1.321752186065922,-2.383180933830284
5.12,-1.3683967866718787,-1.5330344600013328,-2.383180972563572
5.632,-1.591403083547676,-1.7443163205407355,-2.3831865654487308
6.144,-1.814408989078674,-1.9555985980349204,-2.383184310819493
6.656000000000001,-2.0374154128079884,-2.1668803413805473,-2.383181259340217
7.168,-2.260421545404471,-2.3781623914449144,-2.383186909394275
7.68,-2.483427494128238,-2.5894446303386616,-2.3831832100046424
8.192,-2.7064339476570654,-2.8007263455697955,-2.3831818861780216
8.704,-2.9294399671687197,-3.012008513911068,-2.3831871035038006
9.216000000000001,-3.152445980206433,-3.223290686120585,-2.383182109334338
9.728,-3.3754524179866534,-3.4345724186856947,-2.383182722500317
10.24,-3.5984583304017033,-3.6458546983333178,-2.3831869154222587
10.752,-3.8214644126726056,-3.857136798948256,-2.3831811017622764
11.264,-4.044470791720118,-4.068418593624803,-2.38318360181215
11.776,-4.228884258866928,-4.243133494159439,-2.383197800981921
12.288,-4.338854649140745,-4.347322309515098,-2.383172017393371
12.8,-4.404442080393839,-4.409730040526219,-2.373389253681563
13.312000000000001,-4.430129907383534,-4.459608421933167,-1.8778101193807986
13.824,-4.412583286321724,-4.481573351868783,-0.8070091877957092
14.336,-4.26927498621855,-4.46327246590691,0.18923817738120696
14.848,-4.042861577564907,-4.4272413174621645,0.10199669006031702
15.36,-3.7476052429974693,-4.426468608846918,-0.00685370548691069
15.872,-3.44039156650101,-4.429062880604031,-0.00880837014772061
16.384,-3.133203470656186,-4.431770779947792,-0.008954928852640367
16.896,-2.8260158229228747,-4.434521937498451,-0.008943581714347185
17.408,-2.518828136115429,-4.4372679958778125,-0.008936076345987986
17.92,-2.2116404169586255,-4.440012980815037,-0.008938826743098628
18.432000000000002,-1.9044526919016684,-4.4427588335384565,-0.00893524868646725
18.944,-1.5972649630208586,-4.445504559646285,-0.008938957822674337
19.456,-1.2900772335980308,-4.448249872442227,-0.008937993353464645
19.968,-0.9828895047937213,-4.450995740470794,-0.00893530648723514
20.48,-0.6757017743310462,-4.453741348013224,-0.008939464665089308
20.992,-0.36851404470917765,-4.4564867028053055,-0.00893715590429005
21.504,-0.06132631549470551,-4.459232607248157,-0.008935704592009496
22.016000000000002,0.24586141520320318,-4.461978096269122,-0.008939704802661689
22.528,0.5530491446813601,-4.464723516625243,-0.008936339742897328
23.04,0.8602368742683367,-4.467469420308343,-0.008936297067400614
23.552,1.167424605082909,-4.470214800163698,-0.008939666441529564
24.064,1.4746123344872377,-4.472960303328424,-0.008935628721614337
24.576,1.781800064512116,-4.47570616578205,-0.008937004679847376
25.088,2.0889877953855454,-4.478451454661196,-0.00893934303288213
25.6,2.3961755248498937,-4.481197044407312,-0.008935085842472159
26.112000000000002,2.7033632553695432,-4.483942825190887,-0.008937731137506169
26.624000000000002,3.0105509862993047,-4.48668804417581,-0.008938751797172304
27.136,3.3177387160427845,-4.489433706680441,-0.00893472265012016
27.648,3.6249264471348215,-4.492179364611609,-0.008938367035939523
28.16,3.9317317281768442,-4.494921168757495,-0.008940562772219161
28.672,4.1624024853210075,-4.496986270782368,-0.008941600264355965
29.184,4.299334388350453,-4.498209118605122,-0.00892485937749852
29.696,4.356324177115387,-4.441408449098901,-0.008922820718800224
30.208000000000002,4.358909100516862,-4.287603378403203,-0.008916303700031792
30.72,4.361645688212743,-4.134020773365155,-0.008924631376070356
31.232,4.364388361530104,-3.9804452833091846,-0.008929368471366942
31.744,4.372040296049579,-3.8329984297384825,-0.12322697071394521
32.256,4.4093100975000485,-3.7281744188452492,-0.8601403562196418
32.768,4.450450676177399,-3.6818888174927067,-2.1017493061420747
33.28,4.348096933442638,-3.6729758707205193,2.9630237754633915
33.792,4.164717985846921,-3.659625131130434,2.869533151454572
34.304,3.9239732112711745,-3.6665594238596877,-3.040769907112945
34.816,3.616595628005692,-3.6715644182729172,-3.1192189530818637
35.328,3.3094701680678487,-3.6784234709902903,-3.119881361904687
35.84,3.0023440529558183,-3.685153932710372,-3.1196101777761847
36.352000000000004,2.695218409309509,-3.691906443438144,-3.1196167164472657
36.864000000000004,2.388092552124979,-3.698654362764092,-3.119627858585914
37.376,2.080966693165533,-3.7054026114692045,-3.1196242079830525
37.888,1.7738408156662668,-3.712150492844562,-3.1196218223788303
38.4,1.4667149430047235,-3.7188986744779733,-3.1196264945934438
38.912,1.1595890780868405,-3.7256470604493224,-3.1196234597776367
39.424,0.8524631942674166,-3.7323948566655787,-3.1196224179467498
39.936,0.5453373244943766,-3.739143163628814,-3.119626641338984
40.448,0.2382114568369979,-3.7458914654872935,-3.1196226095514636
40.96,-0.0689144272752955,-3.7526392737598018,-3.1196231486134622
41.472,-0.3760402936185591,-3.759387689149135,-3.1196264986514612
41.984,-0.6831661643868199,-3.7661358888531646,-3.1196219139339485
42.496,-0.9902920473457122,-3.772883752824841,-3.119623976206037
43.008,-1.297417910954833,-3.779632250058973,-3.119626054689787
43.52,-1.6045437850558195,-3.786380346064205,-3.119621444260083
44.032000000000004,-1.9116696656010177,-3.793128305411331,-3.1196247963275407
44.544000000000004,-2.218795527432179,-3.7998768525438296,-3.1196253471979682
45.056,-2.5259214046324034,-3.806624859333498,-3.119621233596429
45.568,-2.8330472816558814,-3.8133729482066436,-3.119625501742108
46.08,-3.1401731426789015,-3.8201215161937445,-3.1196244297101887
46.592,-3.4472990222517117,-3.826869466167255,-3.1196212461429025
47.104,-3.754424894719321,-3.8336177171052404,-3.1196260004281524
47.616,-4.043794365182009,-3.839974620642064,-3.119643131534768
48.128,-4.22886754315446,-3.8440390997206073,-3.119618207444115
48.64,-4.338838186244464,-3.8464567725125236,-3.1196101454080765
49.152,-4.363679434354353,-3.731917801866488,-3.119633433181933
49.664,-4.370396863397525,-3.578408341000491,-3.119588545538812
50.176,-4.377151659568324,-3.424954537236923,-3.119606685686176
50.688,-4.38377496280985,-3.2716144211060256,-3.116349428030164
51.2,-4.369073919309998,-3.135836870499551,-2.6641912035056876
51.712,-4.303766641191707,-3.009110857592853,-1.6246201111647793
52.224000000000004,-4.19904997920412,-2.858281753194913,-0.1954225761384216
52.736000000000004,-3.983846593067926,-2.8261447215943973,0.3416118817094876
53.248000000000005,-3.7591652347585107,-2.8040825054977176,0.0010913608466409778
53.76,-3.464048243018348,-2.8176199501508057,-0.0504460195584676
54.272,-3.1571792911514094,-2.832178572754716,-0.04818590673711735
54.784,-2.8503299412496514,-2.846867052861551,-0.04799289924005108
