time,gt_x,gt_y,noisy_gps_x,noisy_gps_y,est_x,est_y,in_blackout
0.032,-1.1095238011074482e-05,1.0834412181866289e-05,-0.019782377462159887,0.026490913277857932,-1.1095238011074482e-05,1.0834412181866289e-05,0
0.064,-0.00014417235857686723,3.47176218385436e-05,0.007169243544379365,-0.051130005686416916,-0.0012118631954939887,-0.02045878754127349,0
0.096,-0.0004058234955806038,0.00016978488723741293,-0.00775770798261711,-0.008283685676692498,-0.007916124526185541,-0.01562868929852913,0
0.128,-0.0007950129778508133,0.00043393808114657636,0.011469327733093568,0.019641676009217342,-0.004273457756460243,-0.0016007374709129107,0
0.16,-0.0013195707291324499,0.0008317671182570536,0.0001405795068448424,-0.03541380306686917,-0.006656708532562743,-0.015260362473955246,0
0.192,-0.0019920061203695335,0.001365549194433127,0.010563450985226524,-0.004643054726553438,-0.003965464489999036,-0.011216469062529509,0
0.224,-0.002826516034213292,0.0020377132118646227,-0.040974341618595936,-0.045624255066559566,-0.023022905858702498,-0.025266255692965058,0
0.256,-0.0038368894683477126,0.002849675989594218,-0.026323079751278684,0.024257419712752908,-0.028661281866924862,-0.0058428001431657,0
0.28800000000000003,-0.0050355501940845485,0.0038012856369972754,-0.0467435082678079,-0.03144042531820215,-0.040282219187341956,-0.016583672588228484,0
0.32,-0.006433325735357017,0.004890712268062754,0.02824187237878957,-0.0019649540364712484,-0.017333435407281696,-0.011371081928197902,0
0.352,-0.008039719159602922,0.0061145489306577505,-0.022470837543193477,-0.03995877026690228,-0.0239226170903705,-0.023592175135925417,0
0.384,-0.00986341449226182,0.007468132931212015,0.004763358364878496,-0.08451047287080851,-0.017053609941321074,-0.04891536916496261,0
0.41600000000000004,-0.011912760755297897,0.008945961213252963,0.011652392031545644,-0.051356709562858066,-0.010242497577244117,-0.05103689190261289,0
0.448,-0.014196088473287419,0.010542082753368603,0.030068138142472757,-0.013976571999895887,0.001153166105552399,-0.03756637761660478,0
0.48,-0.016721819701551205,0.01225040157112152,-0.06419359733476265,-0.02489706777682925,-0.029759188564924093,-0.03408032008299849,0
0.512,-0.019498406211066924,0.014064873879096782,0.021183570008664936,0.02364053951893464,-0.014184634073474539,-0.012820582552841046,0
0.544,-0.022534162815945485,0.01597961349270544,-0.011322438641652508,0.022252870292651404,-0.01785089284741914,-0.0008845451643424568,0
0.5760000000000001,-0.0258370623676826,0.01798892730626271,-0.03240464819484496,0.0031733738244300973,-0.028467479170134313,-0.0016355088664654683,0
0.608,-0.030014579446547285,0.01859271771177416,0.03276420647216988,0.1073890840103245,-0.00872870264734604,0.03931287505767775,0
0.64,-0.035067139087400584,0.01744559424883583,-0.05705147172947347,0.017735477844138904,-0.03274094094196359,0.02773159859675861,0
0.672,-0.04091642246976239,0.01443063333148739,-0.013543861056117771,0.043947748409125575,-0.029643319124748633,0.030980855769609482,0
0.704,-0.047473984749395876,0.009459563879076094,-0.02779668220144805,0.0188910457034953,-0.03335182788247541,0.022626617165569112,0
0.736,-0.05431976134811739,0.003952009445563306,-0.07295813412525307,-0.008567407358332096,-0.05350040376453383,0.006388605889705522,0
0.768,-0.06624054741906375,-0.006826574270702178,-0.08742122908749256,-0.01841413352213431,-0.07536562839087832,-0.011478905041225614,0
0.8,-0.07934267430462359,-0.01966789876453564,-0.09346324631226391,0.02132242590082399,-0.0905931445099858,-0.006652288401291154,0
0.8320000000000001,-0.09274986314514597,-0.033059670748401215,-0.11070554448659897,-0.03278613291705056,-0.10634970544016331,-0.025662831089596716,0
0.864,-0.10597286425124129,-0.04634023460491486,-0.10916128802244926,-0.01956282678728273,-0.11494929830514769,-0.03197294464786277,0
0.896,-0.1188372182822278,-0.05962863194937205,-0.08485548925333367,-0.05018258540587992,-0.11016901551031733,-0.04816533349511458,0
0.928,-0.12683878590382489,-0.07038745492229471,-0.08860572057442291,-0.07474316020991491,-0.10508021286456751,-0.06330995654540425,0
