mode,switch_index,start_time_s,end_time_s,switch_time_s,energy_estimate
efficient,1,27.968,29.984,2.016000000000002,32.25598411433809
efficient,2,45.216,47.264,2.048000000000002,32.76782687652592
efficient,3,62.464,64.57600000000001,2.112000000000009,33.79191198614977
efficient,4,79.776,81.824,2.048000000000002,32.767999934867646
efficient,5,97.024,99.136,2.1119999999999948,33.7919180577207
efficient,6,114.336,116.384,2.048000000000002,32.76799994093026
efficient,7,131.584,133.696,2.1119999999999948,33.791918272557865
efficient,8,148.89600000000002,150.94400000000002,2.048000000000002,32.767999939881584
efficient,9,166.144,168.256,2.1119999999999948,33.79191806803588
efficient,10,183.45600000000002,185.504,2.0479999999999734,32.76799993814983
efficient,11,200.704,202.816,2.1119999999999948,33.791918013425665
efficient,12,218.016,220.064,2.048000000000002,32.76799994053203
efficient,13,235.264,237.376,2.1119999999999948,33.791918262506286
