time,gt_x,gt_y,noisy_gps_x,noisy_gps_y,est_x,est_y,in_blackout
0.032,-1.1095238011074482e-05,1.0834412181866289e-05,0.026638706465907273,-0.03435076098760176,-1.1095238011074482e-05,1.0834412181866289e-05,0
0.064,-0.00014417235857686723,3.47176218385436e-05,-0.025329122205299003,-0.0074503424770350594,-0.014211209495365336,-0.002986922257520745,0
0.096,-0.0004058234955806038,0.00016978488723741293,0.02597410763049913,-0.020922205757552638,-0.002223006060861855,-0.010200978160621538,0
0.128,-0.0007950129778508133,0.00043393808114657636,-0.02143083131876628,-0.017116625611784304,-0.014017650298009972,-0.013047431436569015,0
0.16,-0.0013195707291324499,0.0008317671182570536,0.075998402165316,0.021899363351699154,0.017839905005895884,0.0007968877140784227,0
0.192,-0.0019920061203695335,0.001365549194433127,-0.03715612391061642,-0.03139497529347262,-0.00835532632526104,-0.01228288717647698,0
0.224,-0.002826516034213292,0.0020377132118646227,0.03448781139865285,-0.014688852576289848,0.0045280382470398155,-0.013531945565225653,0
0.256,-0.0038368894683477126,0.002849675989594218,0.015203959109028614,0.023166351034593448,0.0044801001406434456,0.0007613584622141577,0
0.28800000000000003,-0.0050355501940845485,0.0038012856369972754,0.0074621059473637934,0.021199897564128198,0.001284855703267702,0.008434951727931574,0
0.32,-0.006433325735357017,0.004890712268062754,0.008355822790191402,0.03177957843698533,-0.00034761030835516946,0.017137905650880764,0
0.352,-0.008039719159602922,0.0061145489306577505,-0.06254610476118508,0.039467608618564805,-0.029761228918211226,0.025283768965708622,0
0.384,-0.00986341449226182,0.007468132931212015,-0.02389894033275696,0.03373887158018211,-0.0320216965170797,0.02770993507641406,0
0.41600000000000004,-0.011912760755297897,0.008945961213252963,0.02969547634732017,0.03574956151646531,-0.012006115796389483,0.029780799073942467,0
0.448,-0.014196088473287419,0.010542082753368603,0.01899167237259828,0.024814120627248186,-0.004335591133884612,0.026440514020186063,0
0.48,-0.016721819701551205,0.01225040157112152,0.004578644717645092,-0.025041911065207055,-0.0055435460876232,0.004265877583724896,0
0.512,-0.019498406211066924,0.014064873879096782,0.01610354664157903,0.03326891530450122,-0.001687257933928367,0.014038486361419614,0
0.544,-0.022534162815945485,0.01597961349270544,-0.05103732567852419,0.06673074504627685,-0.026238421978440108,0.033022046085664114,0
0.5760000000000001,-0.0258370623676826,0.01798892730626271,-0.04946575285903784,-0.013801020760378147,-0.04032443851442405,0.011918688049615175,0
0.608,-0.030014579446547285,0.01859271771177416,-0.021610860861975195,0.0593087907194771,-0.03759290518757791,0.028213275890987172,0
0.64,-0.035067139087400584,0.01744559424883583,-0.08614785540632422,0.024529180151826785,-0.061698015936843015,0.023789320019819416,0
0.672,-0.04091642246976239,0.01443063333148739,-0.010157019067847689,0.07757404747686913,-0.04566282732636826,0.04206600825054339,0
0.704,-0.047473984749395876,0.009459563879076094,-0.054698930797374014,-0.005618653327956904,-0.05372443224181758,0.01947382904154858,0
0.736,-0.05431976134811739,0.003952009445563306,-0.03182509965566002,0.05688045129016436,-0.04927075259230191,0.03067607647469179,0
0.768,-0.06624054741906375,-0.006826574270702178,-0.11089437990966411,-0.017160755372494375,-0.0822170980164078,0.0035949285696221193,0
0.8,-0.07934267430462359,-0.01966789876453564,-0.11808486109264509,-0.03571553415990852,-0.10455267219745595,-0.020423172259075518,0
0.8320000000000001,-0.09274986314514597,-0.033059670748401215,-0.16581768776092434,-0.05240336080661745,-0.1367702793623755,-0.04177225256009409,0
0.864,-0.10597286425124129,-0.04634023460491486,-0.1274825258017967,-0.0448450926454776,-0.14053013777021398,-0.051751503873439145,0
0.896,-0.1188372182822278,-0.05962863194937205,-0.11891169307518316,-0.07121609207278977,-0.1391400007180969,-0.06844587169722434,0
