time,x,y,heading
0.512,-0.019498406211066924,0.014064873879096782,0.3638087229114458
1.024,-0.14738303674732117,-0.10333024349799017,0.9432195776513164
1.536,-0.2780128281714341,-0.2887189880127344,0.773089541189809
2.048,-0.4961159422690388,-0.5055066695660144,0.7844252202690272
2.56,-0.7136068641978992,-0.7224694758743304,0.7842161751676167
3.072,-0.9310884400496652,-0.9394343240593932,0.7842238289875719
3.584,-1.1485656211855675,-1.156403346117603,0.7842313974252998
4.096,-1.366042968389471,-1.3733721320861962,0.7842258185445743
4.6080000000000005,-1.5835202548322267,-1.5903409655390144,0.7842271396451225
5.12,-1.8009977996099118,-1.8073095309897527,0.7842292282340411
5.632,-2.018475175722392,-2.024278264143533,0.7842257884318242
6.144,-2.2359524293228925,-2.2412471232220517,0.7842278856505673
6.656000000000001,-2.4534299876909436,-2.4582156715388614,0.7842288670126492
7.168,-2.670907292312287,-2.675184476476849,0.7842256594248077
7.68,-2.888384578321951,-2.8921533023433814,0.7842285780018645
8.192,-3.1058621248943465,-3.1091218619213556,0.7842283959772257
8.704,-3.323339359929491,-3.3260907375965045,0.7842257682588375
9.216000000000001,-3.5408166827292824,-3.543059525824501,0.7842292092409473
9.728,-3.7582941894848036,-3.7600281251584526,0.7842278800257013
10.24,-3.9757713537924837,-3.9769970727044828,0.7842261309597314
10.752,-4.179823384798701,-4.180573796337499,0.7842501805747891
11.264,-4.309709259212667,-4.310158476087167,0.784220895610341
11.776,-4.386890594027572,-4.387157772445674,0.7842172025745774
12.288,-4.420015905283635,-4.44492294629152,0.5052793000973999
12.8,-4.2804028567684504,-4.469204921046266,-0.1349101711515494
13.312000000000001,-4.0526170822992515,-4.491924411188449,0.008987190153671094
13.824,-3.7453573325974814,-4.491723452793104,-0.0012905593842130764
14.336,-3.4381522855060838,-4.492005335552456,-0.0009846689716434742
14.848,-3.13095249646188,-4.492308853366666,-0.0010118885162428955
15.36,-2.8237526899181606,-4.4926199331153445,-0.0010062306685547306
15.872,-2.5165528630970972,-4.4929297418293395,-0.0010091065188195425
16.384,-2.209353028765568,-4.493238878764144,-0.0010085861433516477
16.896,-1.9021531856976253,-4.493548842511409,-0.001004723054946439
17.408,-1.594953341497039,-4.49385848218833,-0.0010103135345467381
17.92,-1.2877535012750858,-4.494167741274738,-0.0010074542470052312
18.432000000000002,-0.9805536556434676,-4.494477756880518,-0.0010052155698699354
18.944,-0.673353811829794,-4.494787240649254,-0.0010107168977841737
19.456,-0.3661539710386943,-4.495096590863447,-0.001006357971429962
19.968,-0.0589541247395964,-4.4954066206580405,-0.0010060080656031265
20.48,0.24824571804455495,-4.49571596068524,-0.0010107472885295542
20.992,0.5554455595328722,-4.496025429136343,-0.0010053973004097863
21.504,0.8626454061053105,-4.496335420615525,-0.0010069825352269908
22.016000000000002,1.1698452479176442,-4.496644643380731,-0.0010103985952229387
22.528,1.4770450903463042,-4.496954241883499,-0.0010046728559107753
23.04,1.7842449368245434,-4.49726414396804,-0.001008017203047505
23.552,2.091444777858577,-4.497573285631976,-0.001009699354666897
24.064,2.3986446213809605,-4.497883007248048,-0.0010042480345920748
24.576,2.7058444674064654,-4.498192774320366,-0.001008981295007287
25.088,3.013044307949039,-4.498501872420296,-0.0010087073941276964
25.6,3.3202441526308215,-4.498811689319226,-0.001004116137948084
26.112000000000002,3.6274439978757997,-4.4991212806036085,-0.0010097552680048592
26.624000000000002,3.9341856593115248,-4.49942997168208,-0.001010645331884473
27.136,4.16385644348648,-4.4996649609473724,-0.0010117476805792454
27.648,4.300198491880103,-4.49980124059969,-0.0009944549218463227
28.16,4.356038813915656,-4.442547203655567,-0.0009930242297432354
28.672,4.356184961789616,-4.288719198546272,-0.0009881311994147145
29.184,4.356485792526274,-4.135113135212106,-0.0009943520088071733
29.696,4.35679232212924,-3.9815128902354453,-0.0009994125207762501
30.208000000000002,4.249349834538652,-3.878134161086187,-0.00286089341289528
30.72,3.941544407518757,-3.877437160401549,-0.003381444618995868
31.232,3.6343327316787626,-3.8764178630178248,-0.0032571885687138003
31.744,3.327134008608347,-3.8754225964675184,-0.0032378879657155865
32.256,3.0199356220900784,-3.874425791635155,-0.0032521690366794915
32.768,2.712737246163467,-3.873427631190607,-0.003245850096892102
33.28,2.4055388707534653,-3.8724294908357453,-0.003248199771698691
33.792,2.0983404873642617,-3.871431990470161,-0.003250155362058704
